bandwidth,measurement
256Hz,-157
256Hz,-154
256Hz,-147
256Hz,-147
256Hz,-129
256Hz,-116
256Hz,-125
256Hz,-125
256Hz,-140
256Hz,-130
256Hz,-130
256Hz,-128
256Hz,-126
256Hz,-126
256Hz,-138
256Hz,-132
256Hz,-129
256Hz,-129
256Hz,-132
256Hz,-141
256Hz,-141
256Hz,-157
256Hz,-158
256Hz,-132
256Hz,-132
256Hz,-115
256Hz,-138
256Hz,-138
256Hz,-155
256Hz,-155
256Hz,-142
256Hz,-142
256Hz,-140
256Hz,-125
256Hz,-125
256Hz,-123
256Hz,-129
256Hz,-124
256Hz,-124
256Hz,-130
256Hz,-142
256Hz,-142
256Hz,-139
256Hz,-139
256Hz,-139
256Hz,-162
256Hz,-161
256Hz,-162
256Hz,-162
256Hz,-165
256Hz,-144
256Hz,-144
256Hz,-125
256Hz,-118
256Hz,-139
256Hz,-139
256Hz,-155
256Hz,-150
256Hz,-150
256Hz,-134
256Hz,-141
256Hz,-162
256Hz,-162
256Hz,-147
256Hz,-150
256Hz,-150
256Hz,-166
256Hz,-150
256Hz,-159
256Hz,-159
256Hz,-147
256Hz,-125
256Hz,-125
256Hz,-132
256Hz,-142
256Hz,-145
256Hz,-145
256Hz,-142
256Hz,-139
256Hz,-139
256Hz,-144
256Hz,-135
256Hz,-135
256Hz,-127
256Hz,-125
256Hz,-143
256Hz,-143
256Hz,-162
256Hz,-146
256Hz,-146
256Hz,-160
256Hz,-155
256Hz,-153
256Hz,-153
256Hz,-137
256Hz,-133
256Hz,-133
256Hz,-125
256Hz,-118
256Hz,-142
256Hz,-142
256Hz,-140
256Hz,-143
256Hz,-143
256Hz,-138
256Hz,-151
256Hz,-144
256Hz,-144
256Hz,-126
256Hz,-146
256Hz,-146
256Hz,-142
256Hz,-148
256Hz,-148
256Hz,-142
256Hz,-152
256Hz,-149
256Hz,-149
256Hz,-148
256Hz,-133
256Hz,-133
256Hz,-137
256Hz,-145
256Hz,-163
256Hz,-163
256Hz,-161
256Hz,-153
256Hz,-153
256Hz,-149
256Hz,-145
256Hz,-141
256Hz,-141
256Hz,-121
256Hz,-136
256Hz,-136
256Hz,-137
256Hz,-159
256Hz,-146
256Hz,-146
256Hz,-133
256Hz,-134
256Hz,-134
256Hz,-132
256Hz,-138
256Hz,-125
256Hz,-125
256Hz,-144
256Hz,-167
256Hz,-167
256Hz,-144
256Hz,-131
256Hz,-131
256Hz,-126
256Hz,-147
256Hz,-153
256Hz,-153
256Hz,-140
256Hz,-129
256Hz,-129
256Hz,-139
256Hz,-144
256Hz,-147
256Hz,-147
256Hz,-128
256Hz,-116
256Hz,-116
256Hz,-125
256Hz,-133
256Hz,-177
256Hz,-177
256Hz,-177
256Hz,-169
256Hz,-169
256Hz,-161
256Hz,-141
256Hz,-140
256Hz,-140
256Hz,-137
256Hz,-134
256Hz,-134
256Hz,-127
256Hz,-129
256Hz,-129
256Hz,-150
256Hz,-166
256Hz,-146
256Hz,-146
256Hz,-134
256Hz,-144
256Hz,-144
256Hz,-148
256Hz,-148
256Hz,-148
256Hz,-148
256Hz,-154
256Hz,-141
256Hz,-141
256Hz,-136
256Hz,-133
256Hz,-146
256Hz,-146
256Hz,-137
256Hz,-150
256Hz,-150
256Hz,-155
256Hz,-157
256Hz,-142
256Hz,-142
256Hz,-139
256Hz,-142
256Hz,-142
256Hz,-154
256Hz,-145
256Hz,-151
256Hz,-151
256Hz,-154
256Hz,-159
256Hz,-159
256Hz,-146
256Hz,-141
256Hz,-140
256Hz,-140
256Hz,-140
256Hz,-136
256Hz,-136
256Hz,-146
256Hz,-169
256Hz,-169
256Hz,-162
256Hz,-118
256Hz,-121
256Hz,-121
256Hz,-139
256Hz,-161
256Hz,-161
256Hz,-134
256Hz,-145
256Hz,-141
256Hz,-141
256Hz,-131
256Hz,-130
256Hz,-130
256Hz,-132
256Hz,-137
256Hz,-119
256Hz,-119
256Hz,-139
256Hz,-138
256Hz,-138
256Hz,-122
256Hz,-134
256Hz,-134
256Hz,-134
256Hz,-143
256Hz,-127
256Hz,-127
256Hz,-138
256Hz,-149
256Hz,-149
256Hz,-132
256Hz,-136
256Hz,-144
256Hz,-144
256Hz,-134
256Hz,-128
256Hz,-128
256Hz,-127
256Hz,-155
256Hz,-156
256Hz,-156
256Hz,-146
256Hz,-124
256Hz,-124
256Hz,-124
256Hz,-130
256Hz,-138
256Hz,-138
256Hz,-140
256Hz,-136
256Hz,-136
256Hz,-153
256Hz,-154
256Hz,-145
256Hz,-145
256Hz,-131
256Hz,-158
256Hz,-158
256Hz,-163
256Hz,-172
256Hz,-143
256Hz,-143
256Hz,-118
256Hz,-130
256Hz,-130
256Hz,-150
256Hz,-141
256Hz,-141
256Hz,-124
256Hz,-122
256Hz,-129
256Hz,-129
256Hz,-149
256Hz,-156
256Hz,-156
256Hz,-149
256Hz,-134
256Hz,-134
256Hz,-134
256Hz,-149
256Hz,-163
256Hz,-163
256Hz,-156
256Hz,-142
256Hz,-148
256Hz,-148
256Hz,-156
256Hz,-142
256Hz,-142
256Hz,-154
256Hz,-149
256Hz,-138
256Hz,-138
256Hz,-136
256Hz,-136
256Hz,-136
256Hz,-136
256Hz,-143
256Hz,-134
256Hz,-134
256Hz,-132
256Hz,-135
256Hz,-135
256Hz,-158
256Hz,-160
256Hz,-160
256Hz,-161
256Hz,-138
256Hz,-138
256Hz,-138
256Hz,-142
256Hz,-145
256Hz,-145
256Hz,-144
256Hz,-136
256Hz,-113
256Hz,-113
256Hz,-107
256Hz,-131
256Hz,-131
256Hz,-155
256Hz,-159
256Hz,-149
256Hz,-149
256Hz,-121
256Hz,-120
256Hz,-120
256Hz,-151
256Hz,-172
256Hz,-158
256Hz,-158
256Hz,-140
256Hz,-147
256Hz,-147
256Hz,-167
256Hz,-159
256Hz,-154
256Hz,-154
256Hz,-130
256Hz,-126
256Hz,-126
256Hz,-140
256Hz,-143
256Hz,-143
256Hz,-143
256Hz,-137
256Hz,-142
256Hz,-142
256Hz,-156
256Hz,-150
256Hz,-150
256Hz,-135
256Hz,-140
256Hz,-145
256Hz,-145
256Hz,-137
256Hz,-141
256Hz,-141
256Hz,-125
256Hz,-114
256Hz,-121
256Hz,-121
256Hz,-128
256Hz,-128
256Hz,-128
256Hz,-138
256Hz,-151
256Hz,-150
256Hz,-150
256Hz,-149
256Hz,-155
256Hz,-155
256Hz,-166
256Hz,-151
256Hz,-151
256Hz,-130
256Hz,-112
256Hz,-123
256Hz,-123
256Hz,-140
256Hz,-144
256Hz,-144
256Hz,-131
256Hz,-116
256Hz,-139
256Hz,-139
256Hz,-160
256Hz,-158
256Hz,-158
256Hz,-171
256Hz,-155
256Hz,-140
256Hz,-140
256Hz,-134
256Hz,-150
256Hz,-150
256Hz,-153
256Hz,-156
256Hz,-140
256Hz,-140
256Hz,-136
256Hz,-145
256Hz,-145
256Hz,-134
256Hz,-145
256Hz,-153
256Hz,-153
256Hz,-142
256Hz,-139
256Hz,-139
256Hz,-137
256Hz,-139
256Hz,-139
256Hz,-147
256Hz,-159
256Hz,-152
256Hz,-152
256Hz,-129
256Hz,-145
256Hz,-145
256Hz,-142
256Hz,-152
256Hz,-151
256Hz,-151
256Hz,-158
256Hz,-166
256Hz,-166
256Hz,-151
256Hz,-130
256Hz,-124
256Hz,-124
256Hz,-133
256Hz,-131
256Hz,-131
256Hz,-130
256Hz,-138
256Hz,-138
256Hz,-138
256Hz,-144
256Hz,-146
256Hz,-146
256Hz,-148
256Hz,-140
256Hz,-143
256Hz,-143
256Hz,-137
256Hz,-147
256Hz,-147
256Hz,-152
256Hz,-150
256Hz,-138
256Hz,-138
256Hz,-137
256Hz,-150
256Hz,-150
256Hz,-143
256Hz,-122
256Hz,-122
256Hz,-115
256Hz,-130
256Hz,-138
256Hz,-138
256Hz,-136
256Hz,-160
256Hz,-160
256Hz,-154
256Hz,-146
256Hz,-137
256Hz,-137
256Hz,-136
256Hz,-164
256Hz,-164
256Hz,-160
256Hz,-134
256Hz,-146
256Hz,-146
256Hz,-137
256Hz,-118
256Hz,-118
256Hz,-120
256Hz,-150
256Hz,-157
256Hz,-157
256Hz,-149
256Hz,-122
256Hz,-122
256Hz,-140
256Hz,-140
256Hz,-131
256Hz,-131
256Hz,-138
256Hz,-144
256Hz,-144
256Hz,-138
256Hz,-162
256Hz,-162
256Hz,-140
256Hz,-128
256Hz,-120
256Hz,-120
256Hz,-140
256Hz,-133
256Hz,-133
256Hz,-157
256Hz,-139
256Hz,-123
256Hz,-123
256Hz,-137
256Hz,-157
256Hz,-157
256Hz,-164
256Hz,-144
256Hz,-141
256Hz,-141
256Hz,-147
256Hz,-148
256Hz,-148
256Hz,-141
256Hz,-134
256Hz,-137
256Hz,-137
256Hz,-146
256Hz,-132
256Hz,-132
256Hz,-132
256Hz,-142
256Hz,-142
256Hz,-152
256Hz,-146
256Hz,-144
256Hz,-144
256Hz,-157
256Hz,-150
256Hz,-150
256Hz,-157
256Hz,-171
256Hz,-166
256Hz,-166
256Hz,-149
256Hz,-143
256Hz,-143
256Hz,-128
256Hz,-123
256Hz,-118
256Hz,-118
256Hz,-118
256Hz,-145
256Hz,-145
256Hz,-139
256Hz,-132
256Hz,-143
256Hz,-143
256Hz,-159
256Hz,-145
256Hz,-145
256Hz,-125
256Hz,-134
256Hz,-121
256Hz,-121
256Hz,-140
256Hz,-154
256Hz,-154
256Hz,-165
256Hz,-146
256Hz,-120
256Hz,-120
256Hz,-136
256Hz,-140
256Hz,-140
256Hz,-114
256Hz,-136
256Hz,-136
256Hz,-159
256Hz,-163
256Hz,-155
256Hz,-155
256Hz,-137
256Hz,-142
256Hz,-142
256Hz,-154
256Hz,-147
256Hz,-139
256Hz,-139
256Hz,-139
256Hz,-139
256Hz,-139
256Hz,-151
256Hz,-163
256Hz,-144
256Hz,-144
256Hz,-131
256Hz,-133
256Hz,-133
256Hz,-143
256Hz,-135
256Hz,-135
256Hz,-135
256Hz,-127
256Hz,-150
256Hz,-150
256Hz,-149
256Hz,-157
256Hz,-149
256Hz,-149
256Hz,-142
256Hz,-138
256Hz,-138
256Hz,-123
256Hz,-118
256Hz,-118
256Hz,-124
256Hz,-139
256Hz,-152
256Hz,-152
256Hz,-145
256Hz,-157
256Hz,-157
256Hz,-162
256Hz,-138
256Hz,-127
256Hz,-127
256Hz,-138
256Hz,-161
256Hz,-161
256Hz,-172
256Hz,-143
256Hz,-135
256Hz,-135
256Hz,-144
256Hz,-132
256Hz,-132
256Hz,-152
256Hz,-136
256Hz,-128
256Hz,-128
256Hz,-135
256Hz,-160
256Hz,-160
256Hz,-151
256Hz,-144
256Hz,-128
256Hz,-128
256Hz,-124
256Hz,-130
256Hz,-130
256Hz,-143
256Hz,-138
256Hz,-138
256Hz,-131
256Hz,-134
256Hz,-121
256Hz,-121
256Hz,-136
256Hz,-146
256Hz,-146
256Hz,-142
256Hz,-151
256Hz,-131
256Hz,-131
256Hz,-128
256Hz,-131
256Hz,-131
256Hz,-131
256Hz,-119
256Hz,-146
256Hz,-146
256Hz,-162
256Hz,-149
256Hz,-149
256Hz,-140
256Hz,-130
256Hz,-138
256Hz,-138
256Hz,-150
256Hz,-153
256Hz,-153
256Hz,-148
256Hz,-130
256Hz,-130
256Hz,-122
256Hz,-125
256Hz,-130
256Hz,-130
256Hz,-151
256Hz,-155
256Hz,-155
256Hz,-153
256Hz,-146
256Hz,-130
256Hz,-130
256Hz,-130
256Hz,-130
256Hz,-130
256Hz,-159
256Hz,-151
256Hz,-136
256Hz,-136
256Hz,-117
256Hz,-138
256Hz,-138
256Hz,-145
256Hz,-145
256Hz,-134
256Hz,-134
256Hz,-146
256Hz,-158
256Hz,-158
256Hz,-172
256Hz,-155
256Hz,-145
256Hz,-145
256Hz,-143
256Hz,-152
256Hz,-152
256Hz,-160
256Hz,-168
256Hz,-168
256Hz,-149
256Hz,-123
256Hz,-119
256Hz,-119
256Hz,-145
256Hz,-145
256Hz,-145
256Hz,-137
256Hz,-134
256Hz,-145
256Hz,-145
256Hz,-135
256Hz,-148
256Hz,-148
256Hz,-147
256Hz,-134
256Hz,-120
256Hz,-120
256Hz,-117
256Hz,-140
256Hz,-140
256Hz,-141
256Hz,-123
256Hz,-128
256Hz,-128
256Hz,-133
256Hz,-137
256Hz,-137
256Hz,-126
256Hz,-144
256Hz,-144
256Hz,-160
256Hz,-143
256Hz,-130
256Hz,-130
256Hz,-145
256Hz,-152
256Hz,-152
256Hz,-148
256Hz,-126
256Hz,-128
256Hz,-128
256Hz,-143
256Hz,-153
256Hz,-153
256Hz,-151
256Hz,-143
256Hz,-150
256Hz,-150
256Hz,-146
256Hz,-145
256Hz,-145
256Hz,-125
256Hz,-128
256Hz,-120
256Hz,-120
256Hz,-132
256Hz,-151
256Hz,-151
256Hz,-146
256Hz,-125
256Hz,-127
256Hz,-127
256Hz,-136
256Hz,-161
256Hz,-161
256Hz,-149
256Hz,-146
256Hz,-149
256Hz,-149
256Hz,-143
256Hz,-150
256Hz,-150
256Hz,-151
256Hz,-144
256Hz,-144
256Hz,-118
256Hz,-136
256Hz,-138
256Hz,-138
256Hz,-145
256Hz,-169
256Hz,-169
256Hz,-165
256Hz,-154
256Hz,-127
256Hz,-127
256Hz,-137
256Hz,-151
256Hz,-151
256Hz,-151
256Hz,-137
256Hz,-123
256Hz,-123
256Hz,-151
256Hz,-156
256Hz,-156
256Hz,-153
256Hz,-153
256Hz,-159
256Hz,-159
256Hz,-174
256Hz,-161
256Hz,-161
256Hz,-156
256Hz,-126
256Hz,-128
256Hz,-128
256Hz,-121
256Hz,-137
256Hz,-137
256Hz,-148
256Hz,-136
256Hz,-136
256Hz,-140
256Hz,-141
256Hz,-143
256Hz,-143
256Hz,-141
256Hz,-145
256Hz,-145
256Hz,-137
256Hz,-139
256Hz,-145
256Hz,-145
256Hz,-156
256Hz,-163
256Hz,-163
256Hz,-156
256Hz,-130
256Hz,-140
256Hz,-140
256Hz,-138
256Hz,-145
256Hz,-145
256Hz,-140
256Hz,-143
256Hz,-144
256Hz,-144
256Hz,-148
256Hz,-145
256Hz,-145
256Hz,-130
256Hz,-117
256Hz,-117
256Hz,-106
256Hz,-138
256Hz,-150
256Hz,-150
256Hz,-137
256Hz,-124
256Hz,-124
256Hz,-147
256Hz,-154
256Hz,-147
256Hz,-147
256Hz,-157
256Hz,-143
256Hz,-143
256Hz,-133
256Hz,-118
256Hz,-135
256Hz,-135
256Hz,-142
256Hz,-177
256Hz,-177
256Hz,-153
256Hz,-127
256Hz,-115
256Hz,-115
256Hz,-144
256Hz,-133
256Hz,-133
256Hz,-135
256Hz,-155
256Hz,-145
256Hz,-145
256Hz,-127
256Hz,-120
256Hz,-120
256Hz,-134
256Hz,-141
256Hz,-141
256Hz,-144
256Hz,-152
256Hz,-147
256Hz,-147
256Hz,-128
256Hz,-152
256Hz,-152
256Hz,-164
256Hz,-139
256Hz,-140
256Hz,-140
256Hz,-126
256Hz,-128
256Hz,-128
256Hz,-137
256Hz,-135
256Hz,-135
256Hz,-135
256Hz,-133
256Hz,-151
256Hz,-151
256Hz,-155
256Hz,-147
256Hz,-156
256Hz,-156
256Hz,-143
256Hz,-137
256Hz,-137
256Hz,-139
256Hz,-130
256Hz,-130
256Hz,-130
256Hz,-153
256Hz,-145
256Hz,-145
256Hz,-129
256Hz,-138
256Hz,-138
256Hz,-143
256Hz,-134
256Hz,-131
256Hz,-131
256Hz,-128
256Hz,-137
256Hz,-137
256Hz,-130
256Hz,-141
256Hz,-145
256Hz,-145
256Hz,-144
256Hz,-144
256Hz,-144
256Hz,-136
256Hz,-135
256Hz,-153
256Hz,-153
256Hz,-150
256Hz,-145
256Hz,-145
256Hz,-141
256Hz,-149
256Hz,-166
256Hz,-166
256Hz,-165
256Hz,-138
256Hz,-138
256Hz,-126
256Hz,-131
256Hz,-131
256Hz,-138
256Hz,-155
256Hz,-147
256Hz,-147
256Hz,-133
256Hz,-130
256Hz,-130
256Hz,-135
256Hz,-135
256Hz,-132
256Hz,-132
256Hz,-143
256Hz,-138
256Hz,-138
256Hz,-125
256Hz,-132
256Hz,-137
256Hz,-137
256Hz,-150
256Hz,-146
256Hz,-146
256Hz,-134
256Hz,-123
256Hz,-127
256Hz,-127
256Hz,-132
256Hz,-136
256Hz,-136
256Hz,-120
256Hz,-125
256Hz,-151
256Hz,-151
256Hz,-158
256Hz,-145
256Hz,-145
256Hz,-124
256Hz,-101
256Hz,-131
256Hz,-131
256Hz,-131
256Hz,-148
256Hz,-148
256Hz,-140
256Hz,-141
256Hz,-141
256Hz,-136
256Hz,-141
256Hz,-131
256Hz,-131
256Hz,-128
256Hz,-139
256Hz,-139
256Hz,-138
256Hz,-146
256Hz,-147
256Hz,-147
256Hz,-138
256Hz,-133
256Hz,-133
256Hz,-153
256Hz,-166
256Hz,-132
256Hz,-132
256Hz,-130
256Hz,-155
256Hz,-155
256Hz,-163
256Hz,-154
256Hz,-151
256Hz,-151
256Hz,-149
256Hz,-133
256Hz,-133
256Hz,-119
256Hz,-135
256Hz,-135
256Hz,-140
256Hz,-138
256Hz,-132
256Hz,-132
256Hz,-132
256Hz,-128
256Hz,-128
256Hz,-123
256Hz,-119
256Hz,-133
256Hz,-133
256Hz,-142
256Hz,-158
256Hz,-158
256Hz,-142
256Hz,-148
256Hz,-143
256Hz,-143
256Hz,-139
256Hz,-129
256Hz,-129
256Hz,-141
256Hz,-115
256Hz,-114
256Hz,-114
256Hz,-120
256Hz,-130
256Hz,-130
256Hz,-143
256Hz,-145
256Hz,-155
256Hz,-155
256Hz,-127
256Hz,-126
256Hz,-126
256Hz,-126
256Hz,-144
256Hz,-144
256Hz,-136
256Hz,-119
256Hz,-136
256Hz,-136
256Hz,-140
256Hz,-134
256Hz,-134
256Hz,-144
256Hz,-148
256Hz,-143
256Hz,-143
256Hz,-151
256Hz,-143
256Hz,-143
256Hz,-143
256Hz,-158
256Hz,-156
256Hz,-156
256Hz,-139
256Hz,-123
256Hz,-123
256Hz,-145
256Hz,-139
256Hz,-153
256Hz,-153
256Hz,-142
256Hz,-142
256Hz,-142
256Hz,-147
256Hz,-131
256Hz,-128
256Hz,-128
256Hz,-125
256Hz,-131
256Hz,-131
256Hz,-142
256Hz,-144
256Hz,-144
256Hz,-154
256Hz,-148
256Hz,-117
256Hz,-117
256Hz,-136
256Hz,-150
256Hz,-150
256Hz,-129
256Hz,-110
256Hz,-113
256Hz,-113
256Hz,-149
256Hz,-150
256Hz,-150
256Hz,-158
256Hz,-169
256Hz,-160
256Hz,-160
256Hz,-142
256Hz,-137
256Hz,-137
256Hz,-138
256Hz,-154
256Hz,-153
256Hz,-153
256Hz,-144
256Hz,-141
256Hz,-141
256Hz,-136
256Hz,-128
256Hz,-124
256Hz,-124
256Hz,-136
256Hz,-136
256Hz,-136
256Hz,-137
256Hz,-133
256Hz,-133
256Hz,-123
256Hz,-119
256Hz,-122
256Hz,-122
256Hz,-133
256Hz,-154
256Hz,-154
256Hz,-133
256Hz,-135
256Hz,-119
256Hz,-119
256Hz,-126
256Hz,-140
256Hz,-140
256Hz,-148
256Hz,-135
256Hz,-138
256Hz,-138
256Hz,-142
256Hz,-133
256Hz,-133
256Hz,-149
256Hz,-153
256Hz,-128
256Hz,-128
256Hz,-125
256Hz,-124
256Hz,-124
256Hz,-141
256Hz,-135
256Hz,-149
256Hz,-149
256Hz,-145
256Hz,-146
256Hz,-146
256Hz,-157
256Hz,-155
256Hz,-155
256Hz,-155
256Hz,-137
256Hz,-152
256Hz,-152
256Hz,-146
256Hz,-145
256Hz,-145
256Hz,-154
256Hz,-148
256Hz,-160
256Hz,-160
256Hz,-156
256Hz,-152
256Hz,-152
256Hz,-138
256Hz,-131
256Hz,-133
256Hz,-133
256Hz,-122
256Hz,-141
256Hz,-141
256Hz,-144
256Hz,-134
256Hz,-126
256Hz,-126
256Hz,-129
256Hz,-142
256Hz,-142
256Hz,-169
256Hz,-154
256Hz,-151
256Hz,-151
256Hz,-145
256Hz,-145
256Hz,-145
256Hz,-152
256Hz,-146
256Hz,-146
256Hz,-166
256Hz,-166
256Hz,-141
256Hz,-141
256Hz,-126
256Hz,-154
256Hz,-154
256Hz,-137
256Hz,-139
256Hz,-132
256Hz,-132
256Hz,-144
256Hz,-146
256Hz,-146
256Hz,-144
256Hz,-137
256Hz,-138
256Hz,-138
256Hz,-136
256Hz,-151
256Hz,-151
256Hz,-158
256Hz,-150
256Hz,-137
256Hz,-137
256Hz,-124
256Hz,-112
256Hz,-112
256Hz,-105
256Hz,-152
256Hz,-165
256Hz,-165
256Hz,-171
256Hz,-152
256Hz,-152
256Hz,-131
256Hz,-99
256Hz,-99
256Hz,-122
256Hz,-146
256Hz,-141
256Hz,-141
256Hz,-129
256Hz,-133
256Hz,-133
256Hz,-153
256Hz,-171
256Hz,-171
256Hz,-140
256Hz,-139
256Hz,-132
256Hz,-132
256Hz,-133
256Hz,-131
256Hz,-131
256Hz,-145
256Hz,-135
256Hz,-133
256Hz,-133
256Hz,-136
256Hz,-149
256Hz,-149
256Hz,-153
256Hz,-150
256Hz,-129
256Hz,-129
256Hz,-125
256Hz,-141
256Hz,-141
256Hz,-140
256Hz,-154
256Hz,-144
256Hz,-144
256Hz,-137
256Hz,-139
256Hz,-139
256Hz,-137
256Hz,-132
256Hz,-131
256Hz,-131
256Hz,-136
256Hz,-142
256Hz,-142
256Hz,-126
256Hz,-105
256Hz,-105
256Hz,-119
256Hz,-138
256Hz,-169
256Hz,-169
256Hz,-150
256Hz,-136
256Hz,-136
256Hz,-157
256Hz,-167
256Hz,-157
256Hz,-157
256Hz,-149
256Hz,-150
256Hz,-150
256Hz,-165
256Hz,-166
256Hz,-150
256Hz,-150
256Hz,-144
256Hz,-152
256Hz,-152
256Hz,-131
256Hz,-130
256Hz,-132
256Hz,-132
256Hz,-130
256Hz,-143
256Hz,-143
256Hz,-145
256Hz,-152
256Hz,-152
256Hz,-138
256Hz,-141
256Hz,-136
256Hz,-136
256Hz,-152
256Hz,-160
256Hz,-160
256Hz,-167
256Hz,-146
256Hz,-144
256Hz,-144
256Hz,-144
256Hz,-139
256Hz,-139
256Hz,-150
256Hz,-131
256Hz,-145
256Hz,-145
256Hz,-145
256Hz,-127
256Hz,-127
256Hz,-113
256Hz,-126
256Hz,-150
256Hz,-150
256Hz,-154
256Hz,-155
256Hz,-155
256Hz,-139
256Hz,-128
256Hz,-123
256Hz,-123
256Hz,-132
256Hz,-139
256Hz,-139
256Hz,-145
256Hz,-161
256Hz,-161
256Hz,-134
256Hz,-132
256Hz,-142
256Hz,-142
256Hz,-171
256Hz,-153
256Hz,-153
256Hz,-126
256Hz,-147
256Hz,-151
256Hz,-151
256Hz,-169
256Hz,-148
256Hz,-148
256Hz,-139
256Hz,-145
256Hz,-140
256Hz,-140
256Hz,-141
256Hz,-145
256Hz,-145
256Hz,-127
256Hz,-132
256Hz,-166
256Hz,-166
256Hz,-164
256Hz,-129
256Hz,-129
256Hz,-103
256Hz,-137
256Hz,-148
256Hz,-148
256Hz,-156
256Hz,-152
256Hz,-152
256Hz,-160
256Hz,-152
256Hz,-152
256Hz,-135
256Hz,-140
256Hz,-148
256Hz,-148
256Hz,-158
256Hz,-156
256Hz,-156
256Hz,-179
256Hz,-143
256Hz,-130
256Hz,-130
256Hz,-141
256Hz,-142
256Hz,-142
256Hz,-138
256Hz,-146
256Hz,-159
256Hz,-159
256Hz,-154
256Hz,-170
256Hz,-170
256Hz,-155
256Hz,-135
256Hz,-134
256Hz,-134
256Hz,-145
256Hz,-145
256Hz,-145
256Hz,-125
256Hz,-112
256Hz,-153
256Hz,-153
256Hz,-167
256Hz,-170
256Hz,-170
256Hz,-172
256Hz,-146
256Hz,-145
256Hz,-145
256Hz,-150
256Hz,-147
256Hz,-147
256Hz,-138
256Hz,-145
256Hz,-145
256Hz,-139
256Hz,-130
256Hz,-148
256Hz,-148
256Hz,-139
256Hz,-130
256Hz,-130
256Hz,-146
256Hz,-144
256Hz,-140
256Hz,-140
256Hz,-136
256Hz,-133
256Hz,-133
256Hz,-134
256Hz,-139
256Hz,-142
256Hz,-142
256Hz,-142
256Hz,-155
256Hz,-155
256Hz,-155
256Hz,-160
256Hz,-134
256Hz,-134
256Hz,-151
256Hz,-167
256Hz,-167
256Hz,-134
256Hz,-135
256Hz,-140
256Hz,-140
256Hz,-157
256Hz,-152
256Hz,-152
256Hz,-128
256Hz,-144
256Hz,-144
256Hz,-135
256Hz,-129
256Hz,-117
256Hz,-117
256Hz,-115
256Hz,-133
256Hz,-133
256Hz,-140
256Hz,-117
256Hz,-143
256Hz,-143
256Hz,-155
256Hz,-158
256Hz,-158
256Hz,-138
256Hz,-147
256Hz,-151
256Hz,-151
256Hz,-145
256Hz,-153
256Hz,-153
256Hz,-153
256Hz,-150
256Hz,-153
256Hz,-153
256Hz,-146
256Hz,-142
256Hz,-142
256Hz,-132
256Hz,-132
256Hz,-139
256Hz,-139
256Hz,-138
256Hz,-131
256Hz,-131
256Hz,-130
256Hz,-147
256Hz,-147
256Hz,-144
256Hz,-137
256Hz,-147
256Hz,-147
256Hz,-142
256Hz,-136
256Hz,-136
256Hz,-146
256Hz,-159
256Hz,-153
256Hz,-153
256Hz,-145
256Hz,-126
256Hz,-126
256Hz,-125
256Hz,-139
256Hz,-151
256Hz,-151
256Hz,-146
256Hz,-128
256Hz,-128
256Hz,-128
256Hz,-124
256Hz,-127
256Hz,-127
256Hz,-152
256Hz,-139
256Hz,-139
256Hz,-122
256Hz,-138
256Hz,-151
256Hz,-151
256Hz,-148
256Hz,-141
256Hz,-141
256Hz,-149
256Hz,-144
256Hz,-144
256Hz,-140
256Hz,-143
256Hz,-150
256Hz,-150
256Hz,-150
256Hz,-155
256Hz,-155
256Hz,-151
256Hz,-147
256Hz,-143
256Hz,-143
256Hz,-138
256Hz,-146
256Hz,-146
256Hz,-132
256Hz,-138
256Hz,-144
256Hz,-144
256Hz,-135
256Hz,-136
256Hz,-136
256Hz,-153
256Hz,-164
256Hz,-136
256Hz,-136
256Hz,-126
256Hz,-115
256Hz,-115
256Hz,-123
256Hz,-151
256Hz,-167
256Hz,-167
256Hz,-159
256Hz,-144
256Hz,-144
256Hz,-143
256Hz,-131
256Hz,-131
256Hz,-129
256Hz,-152
256Hz,-139
256Hz,-139
256Hz,-131
256Hz,-139
256Hz,-139
256Hz,-141
256Hz,-133
256Hz,-137
256Hz,-137
256Hz,-134
256Hz,-143
256Hz,-143
256Hz,-155
256Hz,-159
256Hz,-145
256Hz,-145
256Hz,-131
256Hz,-134
256Hz,-134
256Hz,-138
256Hz,-140
256Hz,-137
256Hz,-137
256Hz,-146
256Hz,-140
256Hz,-140
256Hz,-138
256Hz,-128
256Hz,-145
256Hz,-145
256Hz,-145
256Hz,-157
256Hz,-157
256Hz,-149
256Hz,-160
256Hz,-160
256Hz,-147
256Hz,-142
256Hz,-140
256Hz,-140
256Hz,-145
256Hz,-149
256Hz,-149
256Hz,-143
256Hz,-151
256Hz,-168
256Hz,-168
256Hz,-151
256Hz,-137
256Hz,-137
256Hz,-133
256Hz,-137
256Hz,-145
256Hz,-145
256Hz,-158
256Hz,-148
256Hz,-148
256Hz,-146
256Hz,-145
256Hz,-143
256Hz,-143
256Hz,-139
256Hz,-139
256Hz,-139
256Hz,-150
256Hz,-144
256Hz,-128
256Hz,-128
256Hz,-120
256Hz,-140
256Hz,-140
256Hz,-137
256Hz,-135
256Hz,-135
256Hz,-141
256Hz,-162
256Hz,-133
256Hz,-133
256Hz,-134
256Hz,-151
256Hz,-151
256Hz,-150
256Hz,-135
256Hz,-116
256Hz,-116
256Hz,-103
256Hz,-141
256Hz,-141
256Hz,-171
256Hz,-169
256Hz,-155
256Hz,-155
